job_id,title
3986588,Инженер-конструктор
4639272,Менеджер по продажам в Киев
3793698,Офіціант в італійський ресторан (ст. м. Дружби народів)
4639251,"Администратор в брачное агентство, директор филиала"
4349724,Менеджер по продажам
3201204,Главный бухгалтер
4478623,Менеджер з продажу авто з США (B2B)
1884413,Кухар (Дружби Народів)
4548483,"Кур'єр (мото, вело)"
4639163,Менеджер по продажам
3032670,Лаборант (біохімія)
1286126,"Біолог, лікар-лаборант (ІФА)"
4639149,Оператор call-центра
3484235,Инженер-технолог (литейное производство)
4494875,Менеджер по роботі з клієнтами (Facebook)
4639105,Amazon© Account Transfer Representative
3698860,Менеджер по роботі з клієнтами зі знанням польської мови
4639076,Бухгалтер
4638761,"Продавець-кассир у ""Мі маркет"" (Комфорт Таун)"
4562979,Продавець-консультант (центр)
4639059,Менеджер по продажам образовательных бизнес-проектов
4639045,Курьер на мопед компании (Совиньон)
4639028,"Помічник бухгалтера, оператор 1С у відділ перевезень"
4085296,Менеджер по роботі з VIP-клієнтами
4638979,Продавець-касир у кав'ярню
4638983,Інженер-теплотехнік
4638974,Junior Accountant
4614828,Экономист
4638967,Помощник директора в немецкую компанию
3594269,Оператор колл-центра (входящая линия) в Белую Церковь
4530684,"Менеджер по работе с клиентами (недвижимость, ст. м. Крещатик)"
4638952,Швея-закройщица (с обучением)
4638117,"Провізор, фармацевт (ст. м. Вокзальна)"
4638945,СRM-менеджер
4638936,Менеджер по продажам (HoReCa)
4493486,Директор по персоналу (HRD)
4445927,Business Development Manager
4531602,Менеджер по продажам (со знанием английского)
4638913,Менеджер з продажу (стоматологія)
4615523,Казначей
4402673,Менеджер з продажу (English)
3202839,Портная
4638818,Помощник руководителя IT-департамента
3475039,Официант
4575507,Менеджер з логістики зі знанням німецької мови
4216559,Оператор поштового відділення (р-н Березянки)
4638750,Продавець-касир у продуктовий магазин
4247459,Инженер ПТО
4638735,"Водій на авто компанії (новий автомобіль, автомат)"
4638729,Провідний спеціаліст фінансового контролінгу
3853061,Кассир бутика парфюмерии и косметики
2192404,Продавец-консультант магазина befree
2207378,Customer support manager (English)
4627167,Продавець-консультант мобільних телефонів та аксесуарів
3776234,Менеджер по продажам
4012199,Руководитель отдела продаж в образовательный IT-проект
4360390,"Продавец-мерчендайзер (ТЦ ""Французский бульвар"")"
4638686,Администратор отдела продаж
3751767,"Продавець-консультант, сомельє (Позняки, центр, Оболонь)"
4053060,"Водій в таксі на авто компанії (Bolt, Uklon)"
4638666,"Инженер ПТО, ОТК"
4638628,Заведующий складом
4638619,Юрисконсульт (англійська мова)
4638611,Логіст
4638514,"Рабочий в цех на производство стеклопакетов, сборщик"
3869813,Research Analyst
4638604,Охоронець
4445736,Водитель такси на авто предприятия (Bolt)
4494182,Провідний фахівець з оперативного контролю
4494394,Оператор call-центра
4635340,Грузчик
4599860,Заместитель директора в немецкую компанию
4638544,Менеджер з продажу елеваторів та зерносховищ у Святопетрівське
4521304,Переводчик английского на сайт Jump4Love
4408544,Senior Growth analyst
4037681,SMM-менеджер
3589453,Оператор склада (Бортничи)
4638499,Спеціаліст з фінансового моніторингу
4576385,Юрист
4604522,"Кредитный аналитик, оператор call-центра (ст. м. Бекетова)"
4207955,Бухгалтер (ст. м. Сирець)
4638467,Заступник директора ТЦ з доставки
4387416,Продавец-консультант в шоурум (Печерск)
4624820,"Менеджер по туризму (ТЦ ""Олимпийский"")"
4257143,"Водитель на авто компании (Uber, Bolt)"
2618305,Бухгалтер
4637659,Менеджер по продажам в Вишневое
4607199,"Менеджер з продажу (корпоративні клієнти, B2B)"
4638381,Менеджер по продажам и работе с клиентами (В2В)
1817718,"Контент-менеджер на Wordpress (оформление статей, создание картинок)"
1671249,Складальник корпусних меблів
3818545,Торговый представитель
4638364,Водій
1339701,Оператор контакт-центру
3267680,Водитель на миксер
4638341,Оператор колл-центра
4409443,"Водитель в такси на авто компании ""Смарт Райд"""
4559012,Оператор слот-зала (казино)
4172094,Офіціант
4638295,Менеджер по работе с аккаунтами Facebook
4583384,"Кредитний менеджер (Ельдорадо, Comfy)"
4590598,Продавець-консультант у магазин одягу
4638257,Менеджер по продажам курсов по дизайну интерьера
3624577,Помощник кладовщика
4235890,Продавець-консультант техніки Apple
4638234,Продавец-консультант у магазин The Body Shop (ТРЦ Respublika Park)
4638207,"Оператор ПК, оперативный менеджер"
4638194,"Кредитний експерт, менеджер по роботі з клієнтами, касир (правий берег)"
4425940,"Провізор, фармацевт"
4625433,"Грузчик, упаковщик на склад (ст. м. Почайна)"
3416481,Менеджер із закупівель запчастин
4638152,"Резчик стекла, стекольщик"
4043991,Грузчик-комплектовщик на склад
4288554,Менеджер по продажам туристических продуктов
4541300,Менеджер по продажам услуг доставки авто из США
2364943,Менеджер по работе с готовой клиентской базой
2211351,Менеджер по туризму
4638113,"Бухгалтер ""Клієнт-банк"""
4638097,SEO Team Lead
4043344,Менеджер по продажам (В2В)
3353175,"Асистент вчителя (початкова школа, смт Козин)"
4638060,Менеджер з обробки фото
4638055,Middle SEO-специалист
4574487,Ведущий YouTube-канала
4638025,Фахівець по роботі з клієнтами (Святошино)
4638017,Game Product Analyst
4488839,Монтажник з підключення абонентів
4537755,Комплектовщик товаров на склад
4637995,Оператор ПК (IT)
2317458,Продавец-консультант брендовой одежды
4637989,Junior SEO-специалист
4637977,Заступник директора з механізації у Берислав
4539611,Майстер-приймальник (СТО)
4637966,"Медична сестра, оптометрист (з навчанням)"
4587866,Радник з юридичних питань у галузі фінансів
4637942,Бухгалтер по первичной документации
4580863,Менеджер по продажам (IT)
4637936,Менеджер по продажам (агентство по трудоустройству за рубеж)
3594490,Менеджер по роботі з клієнтами (IT)
4582995,"Менеджер по продажам (с обучением, RU, PL)"
4637914,Оператор call-центру (ст. м. Либідська)
2897714,Охранник
4179576,"Менеджер по продажам, оператор сall-центра"
4631243,Переводчик в брачное агентство в Харьков
4637865,"Торговый представитель, менеджер (опт, рынки, розница)"
1112044,Машиніст баштового крану
4229446,Оператор контакт-центру (вихідна лінія)
4637854,"Продавец-консультант (ТЦ ""Украина"")"
4637849,Менеджер з продажу у Дніпро
4566768,"Водитель кат. С, Е"
4637811,Стикеровщик
4626230,"Провізор, фармацевт"
4423489,Мастер маникюра и педикюра
3875462,Менеджер із продажів техніки в інтернет-магазин
4396183,Менеджер-риелтор по продажам недвижимости (ст. м. Майдан Независимости)
3507039,"PPC Account Manager (Google Ads, Facebook)"
4052939,"Менеджер по работе с клиентами (недвижимость, ст. м. Золотые Ворота)"
4637730,"Касир (ст. м. Святошин, Електронмаш)"
4637724,Менеджер з обробки зображень
4637707,"Продавець-консультант (ТЦ Globus-1, Майдан Незалежності)"
4637662,"Продавець-консультант, промоутер (Нова Лінія)"
4637655,"Продавець-консультант (ТЦ Retroville, р-н Виноградар)"
2024790,Рекрутер
3063200,Водитель на авто компании (Uber)
1791317,Бухгалтер по первичной документации
4637608,Охранник (вахта)
4626500,Кладовщик
3673262,Спеціаліст зі стягнення заборгованості
4158935,Провідний інженер виробничо-технічного відділу
4637497,"Фандрейзер, помощник президента"
4637492,Майстер цеху
2803813,Мастер строительных и монтажных работ
3778636,Швачка на виробництво жіночого одягу
4637468,Водитель на авто компании
4335299,Менеджер по продажам
4566577,Начальник производственного отдела
4590587,Бізнес-аналітик
4637426,Кладовщик в магазин All Stars (ТРЦ Respublika Park)
3995000,Менеджер по роботі с клієнтами (call-centre)
4194565,"Продавець-консультант (ст. м. Дарниця, ТРЦ ""Дома Центр"")"
4614833,Охоронець
4637360,Юрист
4402127,Бухгалтер
1848848,Швея женской одежды
3386816,Кладовщик (ст. м. Васильковская)
4590089,Фахівець з продажу
3605277,Кондитер
4169125,Агент з бронювання авіаквитків (Turkish Airlines)
4637298,Менеджер по роботі з клієнтами (фармація)
4488467,"Кредитний експерт, касир-оцінювач у ломбард"
1430861,Слесарь КИПиА в Магдалиновку
4284451,Водитель кат. B на парковое авто
3483854,Продавець-консультант техніки Apple
4395324,Кухар гарячого цеху
4462162,"Провізор, фармацевт"
3914885,Менеджер по роботі з клієнтами у call-center
4637239,Бухгалтер
4299895,Маркетолог
3560633,"Оператор call-центра, менеджер по работе с клиентами"
4627829,Resourcing Specialist for Pre-hire Program (IRC131463)
4577223,Вантажник-комплектувальник
4621272,Асистент стоматолога
3528314,"Кассир (ТРЦ ""Арт-Молл"")"
4614878,Business Development manager (Linkedin)
4607774,Торговий представник з авто
1199621,"Автослесарь-ходовик, автомеханик (Троещина)"
4314450,Водій-експедитор
4625529,"Водій зі своїм авто (бус, 4,2 м)"
3459120,Инженер ПТО
4497697,"Касир залу ігрових автоматів (казино, слоти)"
4591984,Оператор call-центру (ст. м. Лівобережна)
4339422,"Продавець-консультант (Осокорки, Академмістечко, Теремки, Ретровіль)"
